namn,init,kon,yrke,tid,ort,rader,antal,kon2,arh
Johan Ulfvens,JU,man,journalist,1900-tal,Helsingfors,1301,1,1,19
Franz Frederik Wathén,FFW,man,skridskoåkare,1900-tal,Helsingfors,1290,1,1,19
Johannes Bäck,JB,man,präst,1800-tal,Nykarleby landskommun,1288,1,1,18
Abraham Häggbladh,AH,man,topograf,1800-tal,Vasa,1276,1,1,18
Birger Thölix,BT,man,journalist,1900-tal,Åbo,1275,1,1,19
Bertel Nygård,BN,man,journalist,1900-tal,Vörå,1267,1,1,19
Bengt Schalin,BS,man,trädgårdsingenjör,1900-tal,Nykarleby,1266,1,1,19
Carl Jacob Gardberg,CJG,man,fackboksförfattare,1900-tal,Helsingfors,1256,1,1,19
Ossian Reuter,OR,man,redaktör,1800-tal,Västanfjärd,1250,1,1,18
Hjalmar von Bonsdorff,HvB,man,ämbetsman,1800-tal,Helsingfors,1248,1,1,18
Woldemar Hägglund,WH,man,bandyspelare,1900-tal,Viborg,1248,1,1,19
André Linman,AL,man,gitarrist,2000-tal,Vasa,1216,1,1,20
Carl Öhman,CÖ,man,teaterchef,1900-tal,Helsingfors,1214,1,1,19
Göran Ehrnrooth,GE,man,affärsman,1900-tal,Helsingfors,1212,1,1,19
Erik Adolf von Willebrand,EAvW,man,internist,1900-tal,Vasa,1208,1,1,19
Pelle Heikkilä,PH,man,skådespelare,2000-tal,Helsingfors,1208,1,1,20
Henrik Lilius,HL,man,arkeolog,1900-tal,Viborg,1205,1,1,19
Reinhold Hedberg,RH,man,politiker,1800-tal,Petalax,1204,1,1,18
Kurt Nordfors,KN,man,politiker,1900-tal,Åbo,1201,1,1,19
Johan August von Essen,JAvE,man,författare,1800-tal,Laihela,1187,1,1,18
Tony Halme,TH,man,professionell fribrottare,1900-tal,Helsingfors,1182,1,1,19
Johan Jakob Huldén,JJH,man,lärare,1900-tal,Munsala,1181,1,1,19
Runar Urbans,RU,man,journalist,1900-tal,Helsingfors,1179,1,1,19
Lovisa Charlotta Malm-Reuterholm,LCM,kvinna,målare,1700-tal,Strängnäs,1178,1,2,17
Andreas af Enehielm,AaE,man,filmskådespelare,2000-tal,Helsingfors,1178,1,1,20
Ernst Lampén,EL,man,journalist,1800-tal,Rantasalmi,1173,1,1,18
Runar Salminen,RS,man,skulptör,1900-tal,Vårdö,1173,1,1,19
Bror Rönnholm,BR,man,journalist,1900-tal,Korsholm,1169,1,1,19
Helmer J. Wahlroos,HJW,man,redaktör,1900-tal,Viborg,1160,1,1,19
Matias Strandvall,MS,man,längdskidåkare,2000-tal,Helsingfors,1160,1,1,20
Gösta Sundqvist,GS,man,komiker,1900-tal,Esbo,1159,1,1,19
Alma Hjelt,AH,kvinna,gymnastiklärare,1800-tal,Helsingfors,1154,1,2,18
Jacob Edvard Wefvar,JEW,man,folklorist,1800-tal,Nykarleby,1154,1,1,18
Nils Cleve,NC,man,arkeolog,1900-tal,Helsingfors,1154,1,1,19
Otto Furuhjelm,OF,man,historiker,1800-tal,Åbo,1147,1,1,18
Olle Spring,OS,man,journalist,1900-tal,Borgå,1144,1,1,19
Lisa Cawén,LC,kvinna,skribent,1900-tal,Tavastehus,1139,1,2,19
Gustav Elfving,GE,man,statistiker,1900-tal,Helsingfors,1137,1,1,19
Birger Ek,BE,man,pilot,1900-tal,Kymmene,1133,1,1,19
Christoffer Schildt,CS,man,journalist,1900-tal,Helsingfors,1132,1,1,19
Clas Zilliacus,CZ,man,professor,1900-tal,Mariehamn,1127,1,1,19
Johan Edvard Öhman,JEÖ,man,journalist,1800-tal,Helsingfors,1124,1,1,18
Emil Lindh,EL,man,filmskådespelare,1800-tal,Helsingfors,1115,1,1,18
Robert Mattson,RM,man,affärsman,1800-tal,Vårdö,1114,1,1,18
Toini Topelius,TT,kvinna,journalist,1800-tal,Helsingfors,1110,1,2,18
Eric Bahne,EB,man,lärare,1900-tal,Åbo,1109,1,1,19
Gunnar Johansson,GJ,man,journalist,1900-tal,Helsingfors,1109,1,1,19
Inger Lindman,IL,kvinna,journalist,1900-tal,Esbo,1107,1,2,19
Anna-Lisa Jakobsson,AJ,kvinna,operasångare,1900-tal,Oravais,1105,1,2,19
Ruth Furstenborg,RF,kvinna,redaktör,1900-tal,Torup,1102,1,2,19
Martin Enckell,ME,man,översättare,1900-tal,Helsingfors,1102,1,1,19
Sigurd Wettenhovi-Aspa,SW,man,skulptör,1900-tal,Helsingfors,1101,1,1,19
Meta Torvalds,MT,kvinna,journalist,1900-tal,Korsholm,1097,1,2,19
Gödik Fincke,GF,man,militär,1500-tal,Lampis,1095,1,1,15
Alarik Häggblom,AH,man,politiker,1900-tal,Vårdö,1093,1,1,19
Kajsa Krook,KK,kvinna,översättare,1900-tal,Helsingfors,1092,1,2,19
Ragnar Granvik,RG,man,politiker,1900-tal,Terjärv,1087,1,1,19
Stefan Lindfors,SL,man,formgivare,1900-tal,Mariehamn,1080,1,1,19
Per Stenius,PS,man,direktör,1900-tal,Helsingfors,1076,1,1,19
Viktor Strandfält,VS,man,politiker,1900-tal,Föglö,1066,1,1,19
Eva Wahlström,EW,kvinna,boxare,2000-tal,Lovisa,1059,1,2,20
Julius Stjernvall,JS,man,politiker,1900-tal,Mäntsälä,1054,1,1,19
Alonzo Sundman,AS,man,militär,1900-tal,Mariehamn,1053,1,1,19
Maj-Lis Holmberg,MH,kvinna,författare,1900-tal,Helsingfors,1049,1,2,19
Robert Häggblom,RH,man,friidrottare,2000-tal,Vasa,1046,1,1,20
Torsten Sievers,TS,man,journalist,1900-tal,Helsingfors,1043,1,1,19
Magnus Kull,MK,man,politiker,1900-tal,Korsholm,1043,1,1,19
Kai Brunila,KB,man,journalist,1900-tal,Helsingfors,1040,1,1,19
Gunnar Häggblom,GH,man,polisman,1900-tal,Saltvik,1029,1,1,19
Edvin Sundquist,ES,man,journalist,1900-tal,Solf,1024,1,1,19
Kajsa Ollongren,KO,kvinna,politiker,1900-tal,Leiden,1023,1,2,19
Kuno Nyman,KN,man,politiker,1900-tal,Urjala,1022,1,1,19
Johan Strömberg,JS,man,bonde,1800-tal,Lappträsk,1018,1,1,18
Sampo Sarkola,SS,man,skådespelare,2000-tal,Helsingfors,1017,1,1,20
Torsten Sundblom,TS,man,politiker,1900-tal,Jomala,1015,1,1,19
Isak Smeds,IS,man,redaktör,1800-tal,Petalax,1007,1,1,18
Göran J. Ehrnrooth,GJE,man,affärsman,1900-tal,Helsingfors,1000,1,1,19
Bengt Packalén,BP,man,journalist,1900-tal,Ekenäs,989,1,1,19
Rolf Kullberg,RK,man,nationalekonom,1900-tal,Pojo,985,1,1,19
Thomas Blomqvist,TB,man,politiker,1900-tal,Ekenäs,979,1,1,19
John G. Lindberg,JGL,man,forskare,1900-tal,Sankt Petersburg,976,1,1,19
Axel Arrhenius,AA,man,botaniker,1800-tal,Tavastehus,972,1,1,18
Bertel Appelberg,BA,man,förläggare,1900-tal,Kymmene,970,1,1,19
Thure Hellström,TH,man,arkitekt,1900-tal,Björkö landskommun,969,1,1,19
Margareta Norrmén,MN,kvinna,journalist,1900-tal,Helsingfors,949,1,2,19
Albin Wickman,AW,man,politiker,1900-tal,USA,940,1,1,19
Folke Husell,FH,man,bankman,1900-tal,Mariehamn,938,1,1,19
Hjalmar Nyström,HN,man,brottare,1900-tal,Helsingfors,926,1,1,19
Josef Herler,JH,man,talpedagog,1900-tal,Nykarleby,921,1,1,19
Klas Horn,KH,man,militär,1500-tal,Åminne herrgård,917,1,1,15
Carl-Erik Ström,CS,man,målare,1900-tal,Ekenäs,914,1,1,19
Nicken Rönngren,NR,man,teaterchef,1900-tal,Mariehamn,913,1,1,19
Henrik Kullberg,HK,man,politiker,1900-tal,Strömfors,910,1,1,19
Barbro Sundback,BS,kvinna,politiker,1900-tal,Jomala,904,1,2,19
Geo Stenius,GS,man,journalist,1900-tal,Helsingfors,897,1,1,19
Ylva Edlund,YE,kvinna,skådespelare,1900-tal,Helsingfors,893,1,2,19
Sigyn Alenius,SA,kvinna,journalist,1900-tal,Sankt Petersburg,882,1,2,19
Kaj Stenvall,KS,man,målare,1900-tal,Tammerfors,876,1,1,19
Charlotta Lönnqvist,CL,kvinna,Kalaskokerska,1800-tal,Sjundeå,858,1,2,18
Gabriel Linsén,GL,man,musiklärare,1800-tal,Helsingfors,858,1,1,18
Kristian Axel von Alfthan,KAvA,man,politiker,1800-tal,Uleåborg,854,1,1,18
Håkan Malm,HM,man,politiker,1900-tal,Malax,854,1,1,19
Carl von Haartman,CvH,man,filmskådespelare,1900-tal,Helsingfors,816,1,1,19
